提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-128,差分,質問,質問No:132,質問「規格選択(再設置)(6休)交替制」表示名変更,規格選択(再設置)(6休)交替制,任意,質問の表示名が「規格選択(再設置)(6休)交替制」になっていること,表示名変更: 「規格選択(再設置)(6休)交替制」→「規格選択(再設置)(6休)交替制」
P-129,差分,質問,質問No:133,質問「規格選択(再設置)(7休)交替制」表示名変更,規格選択(再設置)(7休)交替制,任意,質問の表示名が「規格選択(再設置)(7休)交替制」になっていること,表示名変更: 「規格選択(再設置)(7休)交替制」→「規格選択(再設置)(7休)交替制」
P-130,差分,質問,質問No:134,質問「規格選択(再設置)(8休)交替制」表示名変更,規格選択(再設置)(8休)交替制,任意,質問の表示名が「規格選択(再設置)(8休)交替制」になっていること,表示名変更: 「規格選択(再設置)(8休)交替制」→「規格選択(再設置)(8休)交替制」
P-131,差分,質問,質問No:135,質問「規格選択(再設置)(月単位(合計))交替制」表示名変更,規格選択(再設置)(月単位(合計))交替制,任意,質問の表示名が「規格選択(再設置)(月単位(合計))交替制」になっていること,表示名変更: 「規格選択(再設置)(月単位(合計))交替制」→「規格選択(再設置)(月単位(合計))交替制」
P-132,差分,質問,質問No:136,質問「規格選択(再設置)(通期)交替制」表示名変更,規格選択(再設置)(通期)交替制,任意,質問の表示名が「規格選択(再設置)(通期)交替制」になっていること,表示名変更: 「規格選択(再設置)(通期)交替制」→「規格選択(再設置)(通期)交替制」
P-133,差分,質問,質問No:137,質問「規格選択(再設置)(完全週休2日)交替制」表示名変更,規格選択(再設置)(完全週休2日)交替制,任意,質問の表示名が「規格選択(再設置)(完全週休2日)交替制」になっていること,表示名変更: 「規格選択(再設置)(完全週休2日)交替制」→「規格選択(再設置)(完全週休2日)交替制」
P-134,差分,質問,質問No:138,質問「規格選択(再設置)(月単位)交替制」表示名変更,規格選択(再設置)(月単位)交替制,任意,質問の表示名が「規格選択(再設置)(月単位)交替制」になっていること,表示名変更: 「規格選択(再設置)(月単位)交替制」→「規格選択(再設置)(月単位)交替制」
P-135,差分,質問,質問No:139,質問「現場閉所による週休2日補正の選択」表示名変更,現場閉所による週休2日補正の選択,任意,質問の表示名が「現場閉所による週休2日補正の選択」になっていること,表示名変更: 「現場閉所による週休2日補正の選択」→「現場閉所による週休2日補正の選択」
P-136,差分,質問,質問No:140,質問「施工規模による加算」表示名変更,施工規模による加算,任意,質問の表示名が「施工規模による加算」になっていること,表示名変更: 「施工規模による加算」→「施工規模による加算」
P-137,差分,質問,質問No:141,質問「夜間作業補正」表示名変更,夜間作業補正,任意,質問の表示名が「夜間作業補正」になっていること,表示名変更: 「夜間作業補正」→「夜間作業補正」
P-138,差分,質問,質問No:142,質問「時間的制約を受ける場合の補正」表示名変更,時間的制約を受ける場合の補正,任意,質問の表示名が「時間的制約を受ける場合の補正」になっていること,表示名変更: 「時間的制約を受ける場合の補正」→「時間的制約を受ける場合の補正」
P-139,差分,質問,質問No:143,質問「交替制による週休2日補正の選択」表示名変更,交替制による週休2日補正の選択,任意,質問の表示名が「交替制による週休2日補正の選択」になっていること,表示名変更: 「交替制による週休2日補正の選択」→「交替制による週休2日補正の選択」
